people_ID,infect_prob
5942,52.86445025
18664,52.8024307
5603,51.64727167
5649,52.75903673
5099,52.90669082
18749,51.63323701
5228,52.82000244
5559,52.60539493
5220,52.62607935
5476,52.93970388
5260,52.67128576
17638,52.88444184
18635,52.66506352
18794,65.22208128
5263,51.47667149
17680,66.31458336
18030,52.64985984
18090,52.78385176
18455,52.08701404
18155,52.74257504
18116,63.48325536
18144,52.73753122
5218,61.26408
5386,52.55853108
18105,52.46364143
5735,52.36598531
5900,52.92158962
18391,52.17405514
5786,52.76675463
18639,52.62202552
17984,52.39122962
18274,51.51195392
5425,52.75617255
6076,51.98996829
18545,51.99955166
17697,69.28650144
6137,52.73836734
6083,52.471587
17730,52.75107621
5896,67.93136928
18906,52.52613932
17808,52.57306325
6078,52.54234037
5516,51.94252572
18093,52.7875091
6120,52.83935529
18154,53.04005029
17935,52.75295657
18769,69.3821808
18264,52.20994756
18076,51.03700111
18035,52.53809819
18051,52.34438896
18676,52.70531913
5332,52.72138643
5898,65.16838368
18370,52.67723859
17706,52.03966935
5198,52.73503578
18360,52.40596563
18240,52.67968723
18691,52.71895748
5768,52.75016387
18315,52.558486
18776,52.64107944
6225,52.63973651
17983,61.99046208
17973,52.74021953
5805,57.67708032
5500,52.96160744
5305,52.53064528
18243,52.70832351
5169,52.54776141
5258,52.80989967
17810,64.98093024
5714,52.60213216
6070,51.22799351
5959,66.31360704
18771,52.81612143
17765,52.33450201
18822,52.81547057
17735,66.49520256
17966,51.57372244
18861,52.74533522
18236,51.69385469
18750,67.47152256
17809,63.76736448
6049,52.91009632
18465,52.17098641
6201,52.98328191
18877,52.64995293
5087,52.494513
17742,51.36768758
17941,62.64654912
18421,52.40948963
18489,52.4666434
6299,69.08635584
18428,52.59497661
5563,62.32631616
18796,57.93775776
5849,52.54015961
5661,52.62486107
5893,52.55035524
5378,61.06002912
5622,52.69891859
5823,51.99210597
18521,51.06319805
5502,52.49856211
18785,51.55924008
17783,52.86097951
18424,61.63410528
18147,52.09472818
18881,58.80082464
18851,51.58737669
17686,52.42293562
5100,52.93072956
5213,51.97275175
18252,51.34253261
5576,52.51768382
18050,51.87337779
5875,51.91468297
6059,52.68036909
18599,52.38177568
5173,52.15974931
5461,51.28536562
5151,65.64678048
5266,51.26787775
5514,66.96969408
5224,52.52228847
18069,51.53909569
5587,51.49367809
17874,51.84411247
5536,51.5345541
5215,52.68796708
5400,64.17644256
17857,52.46398486
6043,62.09102304
18330,51.44755508
18333,52.65648049
17788,52.54278984
18332,59.5848096
17836,52.25439074
